date,Close Price,Change From Prev Day
11/7/2017,7118.8,160.59
11/8/2017,7458.79,339.99
11/9/2017,7146.78,-312.01
11/10/2017,6570.31,-576.47
11/11/2017,6337,-233.31
11/12/2017,5857.32,-479.68
11/13/2017,6517.68,660.36
11/14/2017,6598.77,81.09
11/15/2017,7279,680.23
11/16/2017,7843.94,564.94
11/17/2017,7689.91,-154.03
11/18/2017,7776.94,87.03
11/19/2017,8033.94,257
11/20/2017,8238.2,204.26
11/21/2017,8095.59,-142.61
11/22/2017,8230.69,135.1
11/23/2017,8002.64,-228.05
11/24/2017,8201.46,198.82
11/25/2017,8763.78,562.32
11/26/2017,9326.59,562.81
11/27/2017,9739.05,412.46
11/28/2017,9908.23,169.18
11/29/2017,9816.35,-91.88
11/30/2017,9916.54,100.19
12/1/2017,10859.56,943.02
12/2/2017,10895.01,35.45
12/3/2017,11180.89,285.88
12/4/2017,11616.85,435.96
12/5/2017,11696.06,79.21
12/6/2017,13708.99,2012.93
12/7/2017,16858.02,3149.03
12/8/2017,16057.14,-800.88
12/9/2017,14913.4,-1143.74
12/10/2017,15036.96,123.56
12/11/2017,16699.68,1662.72
12/12/2017,17178.1,478.42
12/13/2017,16407.2,-770.9
12/14/2017,16531.08,123.88
12/15/2017,17601.94,1070.86
12/16/2017,19343.04,1741.1
12/17/2017,19086.64,-256.4
12/18/2017,18960.52,-126.12
12/19/2017,17608.35,-1352.17
12/20/2017,16454.72,-1153.63
12/21/2017,15561.05,-893.67
12/22/2017,13857.14,-1703.91
12/23/2017,14548.71,691.57
12/24/2017,13975.44,-573.27
12/25/2017,13917.03,-58.41
12/26/2017,15745.26,1828.23
12/27/2017,15378.28,-366.98
12/28/2017,14428.76,-949.52
12/29/2017,14427.87,-0.89
12/30/2017,12629.81,-1798.06
